,wynag_gosp,wynag_przed,zatrud_ogolem,zatrud_przed,zatrud_gosp,wynag
2010-03-31,3241.88,3382.45,8034.0,5304.0,2730.0,3334.6834951456312
2010-06-30,3270.87,3420.32,8110.0,5351.0,2759.0,3369.4775154130703
2010-09-30,3258.95,3424.61,8176.0,5392.0,2784.0,3368.201311154599
2010-12-31,3371.07,3499.96,8214.0,5449.0,2765.0,3456.5729961042125
2011-03-31,3392.0,3521.75,8264.0,5512.0,2752.0,3478.5418683446273
2011-06-30,3446.36,3592.11,8278.0,5535.0,2743.0,3543.814246194733
2011-09-30,3485.57,3635.97,8293.0,5557.0,2736.0,3586.3505136862414
2011-12-31,3514.71,3659.46,8305.0,5566.0,2739.0,3611.7212582781453
2012-03-31,3557.15,3704.4,8292.0,5557.0,2735.0,3655.831650988905
2012-06-30,3573.07,3706.22,8297.0,5557.0,2740.0,3662.2485645414004
2012-09-30,3590.07,3733.79,8282.0,5548.0,2734.0,3686.346087901473
2012-12-31,3625.94,3765.32,8268.0,5529.0,2739.0,3719.146582002903
2013-03-31,3648.1,3776.97,8231.0,5509.0,2722.0,3734.35256104969
2013-06-30,3690.37,3814.59,8205.0,5494.0,2711.0,3773.5466825106646
2013-09-30,3727.28,3860.11,8192.0,5491.0,2701.0,3816.3143664550785
2013-12-31,3760.88,3894.93,8177.0,5493.0,2684.0,3850.929730952672
2014-03-31,3790.86,3926.54,8196.0,5508.0,2688.0,3882.041727672035
2014-06-30,3827.36,3969.18,8208.0,5524.0,2684.0,3922.805136452242
2014-09-30,3860.71,3990.76,8220.0,5537.0,2683.0,3948.311806569343
2014-12-31,3887.12,4034.25,8249.0,5548.0,2701.0,3986.0746902654864
2015-03-31,3930.12,4075.38,8250.0,5564.0,2686.0,4028.0868654545457
2015-06-30,3944.43,4088.83,8274.0,5581.0,2693.0,4041.831063572637
2015-09-30,3980.96,4134.93,8304.0,5610.0,2694.0,4084.9787499999998
2015-12-31,4020.61,4185.99,8357.0,5664.0,2693.0,4132.6971508914685
2016-03-31,4054.35,4219.55,8402.0,5701.0,2701.0,4166.4429778624135
2016-06-30,4097.3,4259.92,8463.0,5748.0,2715.0,4207.750166607586
2016-09-30,4143.38,4305.92,8510.0,5782.0,2728.0,4253.815520564042
2016-12-31,4170.28,4320.8,8573.0,5812.0,2761.0,4272.323886620786
2017-03-31,4237.09,4411.04,8666.0,5950.0,2716.0,4356.522552504039
2017-06-30,4295.91,4483.19,8719.0,5988.0,2731.0,4424.529410482854
2017-09-30,4354.53,4565.4,8813.0,6047.0,2766.0,4499.217494610234
2017-12-31,4444.82,4652.4,8859.0,6099.0,2760.0,4587.728953606502
2018-03-31,4514.38,4722.17,8910.0,6158.0,2752.0,4657.990641975309
2018-06-30,4603.44,4814.32,8979.0,6213.0,2766.0,4749.357968593384
2018-09-30,4681.41,4885.86,9023.0,6256.0,2767.0,4823.16320846725
2018-12-31,4774.69,4981.04,9081.0,6295.0,2786.0,4917.732974342033
2019-03-31,4842.12,5032.44,9151.0,6352.0,2799.0,4974.227162058791
2019-06-30,4942.21,5142.75,9180.0,6382.0,2798.0,5081.626806100217
2019-09-30,5037.44,5223.18,9206.0,6410.0,2796.0,5166.767981751032
2019-12-31,5105.31,5278.71,9227.0,6426.0,2801.0,5226.07172103609
2020-03-31,5179.78,5369.2,9231.0,6416.0,2815.0,5311.436236594084
2020-06-30,5137.81,5251.36,9034.0,6254.0,2780.0,5216.417671020588
2020-09-30,5293.82,5452.85,9064.0,6281.0,2783.0,5404.021614077669
2020-12-31,5386.62,5574.27,9094.0,6342.0,2752.0,5517.483899274247
2021-03-31,5513.02,5666.6,9098.0,6324.0,2774.0,5619.773123763465
2021-06-30,5618.29,5776.86,9132.0,6329.0,2803.0,5728.188108848007
2021-09-30,5770.59,5969.47,9153.0,6346.0,2807.0,5908.478395061729
2021-12-31,5927.72,6151.25,9185.0,6376.0,2809.0,6082.889001633098
2022-03-31,6066.4,6317.32,9273.0,6480.0,2793.0,6241.743642834034
2022-06-30,6276.64,6556.98,9310.0,6480.0,2830.0,6471.763866809882
2022-09-30,6601.35,6828.44,9360.0,6516.0,2844.0,6759.439576923077
2022-12-31,6691.56,6919.62,9397.0,6542.0,2855.0,6850.330726827711
2023-03-31,6898.42,7133.84,9386.0,6538.0,2848.0,7062.406358406137
2023-06-30,7108.18,7353.18,9400.0,6535.0,2865.0,7278.5071276595745
2023-09-30,7351.07,7563.31,9400.0,6526.0,2874.0,7498.418748936171
2023-12-31,7566.93,7737.15,9407.0,6518.0,2889.0,7684.873442117572
2024-03-31,7848.93,8001.09,9404.0,6516.0,2888.0,7954.361152700978
2024-06-30,8107.04,8161.6,9405.0,6510.0,2895.0,8144.805614035087
